Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,Dept,Class,Fine,Classpath,Product Name,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_LABEL_3,ATTRIBUTE_LABEL_4,ATTRIBUTE_LABEL_5,ATTRIBUTE_LABEL_6,ATTRIBUTE_LABEL_7,ATTRIBUTE_LABEL_8,ATTRIBUTE_LABEL_9,ATTRIBUTE_LABEL_10,ATTRIBUTE_VALUE_1,ATTRIBUTE_VALUE_2,ATTRIBUTE_VALUE_3,ATTRIBUTE_VALUE_4,ATTRIBUTE_VALUE_5,ATTRIBUTE_VALUE_6,ATTRIBUTE_VALUE_7,ATTRIBUTE_VALUE_8,ATTRIBUTE_VALUE_9,ATTRIBUTE_VALUE_10,ATTRIBUTE_UOM_1,ATTRIBUTE_UOM_2,ATTRIBUTE_UOM_3,ATTRIBUTE_UOM_4,ATTRIBUTE_UOM_5,ATTRIBUTE_UOM_6,ATTRIBUTE_UOM_7,ATTRIBUTE_UOM_8,ATTRIBUTE_UOM_9,ATTRIBUTE_UOM_10,_classification_confidence,_classification_method,_brand_resolution_method,_enriched,_enrichment_source,_source_tier,_exact_mpn_verified,_enrichment_error,_invoice_desc_ok,_mobile_desc_ok
DW089CG,DW089CG Dewalt Laser Level - 3 Line 30ft Range,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585),Stanley Black & Decker,DEWALT,DW089CG,Test & Measurement,Measuring & Layout Tools,Levels,Test & Measurement>Measuring & Layout Tools>Levels>Rotary & Straight Line Laser Levels,Cross Line Laser Level,"Stanley Black & Decker DEWALT, Cross Line Laser Level, DW089CG",CROSS LINE LASER LEVEL 4,"DEWALT® DW089CG Cross Line Laser Level, +/- 1/8 "" @ 30', Disposable Standard Batteries, Line Laser Level, Cordless","DEWALT® Cross Line Laser Level, Accuracy +/- 1/8 "" @ 30', Power Source Disposable Standard Batteries, Product Type Line Laser Level, Cordless Or Corded Cordless, Total Number Of Batteries 4, Charger Included No, Beam Color Green, Number Of Beams 3, Magnetic Pivot Bracket Built-in Magnetic Pivot Bracket Mounts Easily On Metal Surfaces, Micro Adjust Knob Micro Adjust Knob For Precise Alignment Of 90-degree Intersecting Lines Over Greater Distances, Accessories Ceiling Bracket, Blow Mold Case, AA Batteries, Warranty 3 Year Limited Warranty, 1 Year Free Service, 90 Days Satisfaction Guaranteed","Cross Line Laser Level, +/- 1/8 "" @ 30', Disposable Standard Batteries, Line Laser Level",Product Type,Cordless or Corded,Power Source,Total Number of Batteries,Charger Included,Accuracy,Beam Color,Number of Beams,Magnetic Pivot Bracket,Micro Adjust Knob,Line Laser Level,Cordless,Disposable Standard Batteries,4,No,"+/- 1/8 "" @ 30'",Green,3,Built-in magnetic pivot bracket mounts easily on metal surfaces,Micro adjust knob for precise alignment of 90-degree intersecting lines over greater distances,,,,,,,,,,,high,rule,brand_hint,True,https://www.dewalt.com/product/dw089cg/,manufacturer,True,,True,True
49-66-4567,"49-66-4567 Milw 6"" Magnetic - Impact Driver Set 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-66-4567,Tools & Equipment,Power Tools,Power Fastening Tools,Tools & Equipment>Power Tools>Power Fastening Tools>Power Wrenches & Ratchets>Cordless Impact Drivers,Cordless High Torque Impact Driver,"Milwaukee Tool, Cordless High Torque Impact Driver, 49-66-4567",CDLS HIGH TORQUE IMPCT DRVR,Milwaukee® 49-66-4567 Cordless High Torque Impact Driver,Milwaukee® Cordless High Torque Impact Driver,Cordless High Torque Impact Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,direct_lookup,False,https://www.milwaukeetool.com/Products/49-66-4567,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 197182, Requested 2990. Please try again in 1m14.304s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,True
S11849,"S11849 12"" Down Light Wh",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573),"Satco Products, Inc",SATCO®,S11849,Electrical,Lamps & Lightings,Indoor Lighting,Electrical>Lamps & Lightings>Indoor Lighting>Recessed Lighting>Recessed Lighting Fixtures,Direct Wire Downlight,"Satco Products, Inc, Direct Wire Downlight, S11849",DIRECT WIRE DOWNLIGHT,SATCO® S11849 Direct Wire Downlight,SATCO® Direct Wire Downlight,Direct Wire Downlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,direct_lookup,False,https://www.satco.com/products/S11849,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 197174, Requested 3522. Please try again in 5m0.672s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
2545-20,2545-20 Milw M12 Jig Saw,-- Unbranded --,-- No Unilog Brand --,Milwaukee,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee,2545-20,Tools & Equipment,Power Tools,Power Saws,Tools & Equipment>Power Tools>Power Saws>Jig Saws>Cordless Jig Saws,Jig Saw,"Milwaukee Tool, Jig Saw, 2545-20, Power Tool",JIG SAW,Milwaukee® 2545-20 Jig Saw,Milwaukee® Jig Saw,Jig Saw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,direct_lookup,False,https://www.milwaukeetool.com/Products/2545-20,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 197155, Requested 3142. Please try again in 2m8.304s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
DCB2108,DCB2108 Dewalt 20V 8Ah Battery - Max XR Powerpack,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585),Stanley Black & Decker,DEWALT,DCB2108,Tools & Equipment,Power Tools,Power Tool Accessories,Tools & Equipment>Power Tools>Power Tool Accessories>Cordless Tool Batteries,Battery,"Stanley Black & Decker DEWALT, Battery, DCB2108, 20 V, 18 V, 8 Ah",BATT 20V 18V 8AH OVE,"DEWALT® DCB2108 Battery, 20 V, 18 V, 8 Ah, 3 Year Limited","DEWALT® Battery, Maximum Initial Voltage 20 V, Nominal Voltage 18 V, Capacity 8 Ah, Warranty 3 Year Limited, LED Indicator Yes, Base Material Overmolded, Compatibility 20V MAX* Tools And Chargers","Battery, 20 V, 18 V, 8 Ah",Maximum Initial Voltage,Nominal Voltage,Capacity,Warranty,LED Indicator,Base Material,Compatibility,,,,20,18,8,3 Year Limited,Yes,overmolded,20V MAX* tools and chargers,,,,V,V,Ah,,,,,,,,high,rule,mpn_prefix,True,https://www.dewalt.com/product/dcb2108/,manufacturer,True,,True,True
DW0822CG,DW0822CG Dewalt Cross Line - Plumb Spots Laser-Green,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585),Stanley Black & Decker,DEWALT,DW0822CG,Test & Measurement,Measuring & Layout Tools,Levels,Test & Measurement>Measuring & Layout Tools>Levels>Rotary & Straight Line Laser Levels,Cross Line Laser Level,"Stanley Black & Decker DEWALT, Cross Line Laser Level, DW0822CG",CROSS LINE LASER LEVEL,DEWALT® DW0822CG Cross Line Laser Level,DEWALT® Cross Line Laser Level,Cross Line Laser Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,brand_hint,False,https://www.dewalt.com/product/dw0822cg/,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199402, Requested 2982. Please try again in 17m9.887999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,True
DCD799B,DCD799B Dewalt Drill,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585),Stanley Black & Decker,DeWALT®,DCD799B,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Stanley Black & Decker DeWALT, Product, DCD799B",PRODUCT,DeWALT® DCD799B Product,DeWALT® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199401, Requested 2964. Please try again in 17m1.68s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",mpn_prefix,False,https://www.dewalt.com/product/dcd799b/,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199395, Requested 3152. Please try again in 18m20.304s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
DCD803B,DCD803B Dewalt Multi-Head Drill Driver,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585),Stanley Black & Decker,DeWALT®,DCD803B,Tools & Equipment,Power Tools,Power Drills,Tools & Equipment>Power Tools>Power Drills>Cordless Drills,Subcompact Brushless Drill/Driver,"Stanley Black & Decker DeWALT, Subcompact Brushless Drill/Driver, DCD803B",SUBCOMPACT BSHLS DRL/DRVR,DeWALT® DCD803B Subcompact Brushless Drill/Driver,DeWALT® Subcompact Brushless Drill/Driver,Subcompact Brushless Drill/Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,mpn_prefix,False,https://www.dewalt.com/product/dcd803b/,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199387, Requested 2471. Please try again in 13m22.656s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,True
XNB04Z,"XNB04Z Makita 18V 2"" Brad Nailer 18GA (Bare)",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Makita Usa Inc (5142),Makita,Makita®,XNB04Z,Tools & Equipment,Power Tools,Power Fastening Tools,Tools & Equipment>Power Tools>Power Fastening Tools>Power Nailers>Cordless Nailers,Framing Nailer,"Makita, Framing Nailer, XNB04Z",FRAMING NAILER,Makita® XNB04Z Framing Nailer,Makita® Framing Nailer,Framing Nailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,direct_lookup,False,https://www.makitatools.com/products/details/XNB04Z,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199370, Requested 2707. Please try again in 14m57.264s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
2847-20,2847-20 Milw M18 Charger and Power Supply,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,2847-20,Tools & Equipment,Power Tools,Power Tool Accessories,Tools & Equipment>Power Tools>Power Tool Accessories>Cordless Tool Power Supplies & Battery Adapters,Power Supply and Charger,"Milwaukee Tool, Power Supply and Charger, 2847-20",POWER SUPPLY AND CHARGER,Milwaukee® 2847-20 Power Supply and Charger,Milwaukee® Power Supply And Charger,Power Supply And Charger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,direct_lookup,False,https://www.milwaukeetool.com/Products/2847-20,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199353, Requested 1965. Please try again in 9m29.376s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
