Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,Dept,Class,Fine,Classpath,Product Name,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_LABEL_3,ATTRIBUTE_LABEL_4,ATTRIBUTE_LABEL_5,ATTRIBUTE_LABEL_6,ATTRIBUTE_LABEL_7,ATTRIBUTE_LABEL_8,ATTRIBUTE_LABEL_9,ATTRIBUTE_LABEL_10,ATTRIBUTE_VALUE_1,ATTRIBUTE_VALUE_2,ATTRIBUTE_VALUE_3,ATTRIBUTE_VALUE_4,ATTRIBUTE_VALUE_5,ATTRIBUTE_VALUE_6,ATTRIBUTE_VALUE_7,ATTRIBUTE_VALUE_8,ATTRIBUTE_VALUE_9,ATTRIBUTE_VALUE_10,ATTRIBUTE_UOM_1,ATTRIBUTE_UOM_2,ATTRIBUTE_UOM_3,ATTRIBUTE_UOM_4,ATTRIBUTE_UOM_5,ATTRIBUTE_UOM_6,ATTRIBUTE_UOM_7,ATTRIBUTE_UOM_8,ATTRIBUTE_UOM_9,ATTRIBUTE_UOM_10,_classification_confidence,_classification_method,_brand_resolution_method,_enriched,_enrichment_source,_source_tier,_exact_mpn_verified,_enrichment_error,_invoice_desc_ok,_mobile_desc_ok
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Stanley Black & Decker,DeWALT®,DCB518ASTS06G,Tools & Equipment,Power Tools,Oscillating Tools,Tools & Equipment>Power Tools>Oscillating Tools>Oscillating Tool Sandpaper & Sanding Pads,Sanding Belt,"Stanley Black & Decker DeWALT, Sanding Belt, DCB518ASTS06G, Abrasive Tool",SANDING BELT,DeWALT® DCB518ASTS06G Sanding Belt,DeWALT® Sanding Belt,Sanding Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,llm,mpn_prefix,True,https://www.dewalt.com/product/dcb518asts06g/,manufacturer,True,,True,True
3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100075678,Tools & Equipment,Power Tools,Oscillating Tools,Tools & Equipment>Power Tools>Oscillating Tools>Oscillating Tool Sandpaper & Sanding Pads,Cubitron II Abrasive Disc,"Jam Industrial Supply Llc, Cubitron II Abrasive Disc, 3MABR-7100075678",CUBITRON II ABRASIVE DISC PRE,"3MABR-7100075678 Cubitron II Abrasive Disc, 80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+, Precision Shaped Ceramic, 3 In, 5 In, 6 In, 8 In, 76.2 Mm, 127 Mm, 152.4 Mm, 203.2 Mm","Cubitron II Abrasive Disc, Grit 80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+, Abrasive Material Precision Shaped Ceramic, Overall Diameter (Imperial) 3 In, 5 In, 6 In, 8 In, Overall Diameter (Metric) 76.2 Mm, 127 Mm, 152.4 Mm, 203.2 Mm, Product Form Disc, Attachment Type Hook & Loop, Intended Use Abrasive Product, Specific Use For Industrial/occupational Use Only. Not For Consumer Sale Or Use., Hazard Classification Not Classified According To The Canadian Hazardous Products Regulation., Physical State Solid, Colour Purple, Odour Slight Resinous, Additional Information: Density No Data Available, Flash Point Not Applicable, Aluminum insoluble compounds - TWA (respirable fraction) 1 mg/m3, Aluminum insoluble compounds - TWA (inhalable particles) 10 mg/m3, Aluminum insoluble compounds - TWA (respirable particles) 3 mg/m3, Titanium Dioxide - TWA (respirable nanoscale particles) 0.2 mg/m3, Titanium Dioxide - TWA (respirable finescale particles) 2.5 mg/m3, Stearates - TWA (respirable fraction) 3 mg/m3, Stearates - TWA (inhalable fraction) 10 mg/m3, Carcinogenicity - Titanium Dioxide Group 2B: Possible human carcinogen (IARC)","Cubitron II Abrasive Disc, 80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+, Precision Shaped Ceramic, 3 In, 5 In, 6 In, 8 In",Overall Diameter (Imperial),Overall Diameter (Metric),Product Form,Grit,Attachment Type,Abrasive Material,Intended Use,Specific Use,Hazard Classification,Physical State,"3 in, 5 in, 6 in, 8 in","76.2 mm, 127 mm, 152.4 mm, 203.2 mm",Disc,"80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+",Hook & Loop,Precision Shaped Ceramic,Abrasive Product,For industrial/occupational use only. Not for consumer sale or use.,Not classified according to the Canadian Hazardous Products Regulation.,Solid,,,,,,,,,,,low,llm,unknown,True,https://www.3mcanada.ca/3M/en_CA/p/d/b40065039,retailer,False,,True,True
3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100045865,Tools & Equipment,Power Tools,Oscillating Tools,Tools & Equipment>Power Tools>Oscillating Tools>Oscillating Tool Sandpaper & Sanding Pads,Cubitron II Sanding Disc,"Jam Industrial Supply Llc, Cubitron II Sanding Disc, 3MABR-7100045865",CUBITRON II SANDING DISC,3MABR-7100045865 Cubitron II Sanding Disc,Cubitron II Sanding Disc,Cubitron II Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,unknown,False,https://electgo.com/product/3m-3m-cubitron-ii-stikit-film-disc-775l-120-5-in-x-nh-linered-w-tab-die-500x,retailer,,"LLM HTTP-400: BadRequestError: Error code: 400 - {'error': {'message': 'Failed to parse tool call arguments as JSON', 'type': 'invalid_request_error', ",True,True
3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100048736,Tools & Equipment,Power Tools,Power Tool Accessories,Tools & Equipment>Power Tools>Power Tool Accessories>Dust Collector Accessories,Sanding Disc,"Jam Industrial Supply Llc, Sanding Disc, 3MABR-7100048736, 3M Precision Shaped",SANDING DISC,"3MABR-7100048736 Sanding Disc, 3M Precision Shaped Grain Technology, Up To 2x As Fast As Conventional Abrasives, Up To 6x As Long As Conventional Abrasives, Film Backing","Sanding Disc, Technology 3M Precision Shaped Grain Technology, Cut Speed Up To 2x As Fast As Conventional Abrasives, Disc Life Up To 6x As Long As Conventional Abrasives, Backing Type Film Backing, Adhesive Type Pressure Sensitive Adhesive Coating, Primary Application Stock Removal, Suitable Substrates Metals, Composites, Gelcoat, And Whitewood, Attachment System Stikit, Recommended Sander 3M Elite Random Orbital Sanders, Disc Pack Type Multi Pack","Sanding Disc, 3M Precision Shaped Grain Technology, Up To 2x As Fast As Conventional Abrasives, Up To 6x As Long As Conventional Abrasives",Technology,Cut speed,Disc life,Backing type,Adhesive type,Primary application,Suitable substrates,Attachment system,Recommended sander,Disc pack type,3M Precision Shaped Grain technology,up to 2x as fast as conventional abrasives,up to 6x as long as conventional abrasives,Film backing,pressure sensitive adhesive coating,stock removal,"metals, composites, gelcoat, and whitewood",Stikit,3M Elite Random Orbital Sanders,Multi Pack,,,,,,,,,,,low,llm,unknown,True,https://bindingsource.com/3m-cubitron-ii-stikit-film-disc-775l-multi-pack,retailer,False,,True,True
3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100075690,Tools & Equipment,Power Tools,Power Tool Accessories,Tools & Equipment>Power Tools>Power Tool Accessories>Dust Collector Accessories,Cubitron II Abrasive Disc,"Jam Industrial Supply Llc, Cubitron II Abrasive Disc, 3MABR-7100075690",CUBITRON II ABRASIVE DISC PRE,"3MABR-7100075690 Cubitron II Abrasive Disc, Precision Shaped Ceramic, 3 In, 5 In, 6 In, 8 In, 76.2 Mm, 127 Mm, 152.4 Mm, 203.2 Mm, Disc","Cubitron II Abrasive Disc, Abrasive Material Precision Shaped Ceramic, Overall Diameter (Imperial) 3 In, 5 In, 6 In, 8 In, Overall Diameter (Metric) 76.2 Mm, 127 Mm, 152.4 Mm, 203.2 Mm, Product Form Disc, Grit 80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+, Attachment Type Hook & Loop, Intended Use Abrasive Product, Specific Use For Industrial/occupational Use Only. Not For Consumer Sale Or Use., Hazard Classification Not Classified According To The Canadian Hazardous Products Regulation., Physical State Solid, Colour Purple, Odour Slight Resinous, Additional Information: Density No Data Available, Flash Point Not Applicable, Aluminum insoluble compounds - TWA (respirable fraction) 1 mg/m3, Aluminum insoluble compounds - TWA (inhalable particles) 10 mg/m3, Aluminum insoluble compounds - TWA (respirable particles) 3 mg/m3, Titanium Dioxide - TWA (respirable nanoscale particles) 0.2 mg/m3, Titanium Dioxide - TWA (respirable finescale particles) 2.5 mg/m3, Stearates - TWA (respirable fraction) 3 mg/m3, Stearates - TWA (inhalable fraction) 10 mg/m3, Carcinogenicity - Titanium Dioxide Group 2B: Possible human carcinogen (IARC)","Cubitron II Abrasive Disc, Precision Shaped Ceramic, 3 In, 5 In, 6 In, 8 In, 76.2 Mm, 127 Mm, 152.4 Mm, 203.2 Mm",Overall Diameter (Imperial),Overall Diameter (Metric),Product Form,Grit,Attachment Type,Abrasive Material,Intended Use,Specific Use,Hazard Classification,Physical State,"3 in, 5 in, 6 in, 8 in","76.2 mm, 127 mm, 152.4 mm, 203.2 mm",Disc,"80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+",Hook & Loop,Precision Shaped Ceramic,Abrasive Product,For industrial/occupational use only. Not for consumer sale or use.,Not classified according to the Canadian Hazardous Products Regulation.,Solid,,,,,,,,,,,low,llm,unknown,True,https://www.3mcanada.ca/3M/en_CA/p/d/b40065039,retailer,False,,True,True
3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100075692,Tools & Equipment,Power Tools,Oscillating Tools,Tools & Equipment>Power Tools>Oscillating Tools>Oscillating Tool Sandpaper & Sanding Pads,Cubitron II Sanding Disc,"Jam Industrial Supply Llc, Cubitron II Sanding Disc, 3MABR-7100075692",CUBITRON II SANDING DISC PRE,"3MABR-7100075692 Cubitron II Sanding Disc, 80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+, Precision Shaped Ceramic, 3 In, 5 In, 6 In, 8 In, 76.2 Mm, 127 Mm, 152.4 Mm, 203.2 Mm","Cubitron II Sanding Disc, Grit 80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+, Abrasive Material Precision Shaped Ceramic, Overall Diameter (Imperial) 3 In, 5 In, 6 In, 8 In, Overall Diameter (Metric) 76.2 Mm, 127 Mm, 152.4 Mm, 203.2 Mm, Product Form Disc, Attachment Type Hook & Loop, Intended Use Abrasive Product, Specific Use For Industrial/occupational Use Only. Not For Consumer Sale Or Use., Hazard Classification Not Classified According To The Canadian Hazardous Products Regulation., Physical State Solid, Colour Purple, Odour Slight Resinous, Additional Information: Density No Data Available, Flash Point Not Applicable, Aluminum insoluble compounds - TWA (respirable fraction) 1 mg/m3, Aluminum insoluble compounds - TWA (inhalable particles) 10 mg/m3, Aluminum insoluble compounds - TWA (respirable particles) 3 mg/m3, Titanium Dioxide - TWA (respirable nanoscale particles) 0.2 mg/m3, Titanium Dioxide - TWA (respirable finescale particles) 2.5 mg/m3, Stearates - TWA (respirable fraction) 3 mg/m3, Stearates - TWA (inhalable fraction) 10 mg/m3, Carcinogenicity - Titanium Dioxide Group 2B: Possible human carcinogen (IARC)","Cubitron II Sanding Disc, 80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+, Precision Shaped Ceramic, 3 In, 5 In, 6 In, 8 In",Overall Diameter (Imperial),Overall Diameter (Metric),Product Form,Grit,Attachment Type,Abrasive Material,Intended Use,Specific Use,Hazard Classification,Physical State,"3 in, 5 in, 6 in, 8 in","76.2 mm, 127 mm, 152.4 mm, 203.2 mm",Disc,"80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+",Hook & Loop,Precision Shaped Ceramic,Abrasive Product,For industrial/occupational use only. Not for consumer sale or use.,Not classified according to the Canadian Hazardous Products Regulation.,Solid,,,,,,,,,,,medium,llm,unknown,True,https://www.3mcanada.ca/3M/en_CA/p/d/b40065039,retailer,False,,True,True
3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100145365,Tools & Equipment,Power Tools,Power Tool Accessories,Tools & Equipment>Power Tools>Power Tool Accessories>Dust Collector Accessories,Dust Extractor Bags,"Jam Industrial Supply Llc, Dust Extractor Bags, 3MABR-7100145365",DUST EXTRACTOR BAGS PRE,"3MABR-7100145365 Dust Extractor Bags, Precision Shaped Ceramic, 3 In, 5 In, 6 In, 8 In, 76.2 Mm, 127 Mm, 152.4 Mm, 203.2 Mm, Disc","Dust Extractor Bags, Abrasive Material Precision Shaped Ceramic, Overall Diameter (Imperial) 3 In, 5 In, 6 In, 8 In, Overall Diameter (Metric) 76.2 Mm, 127 Mm, 152.4 Mm, 203.2 Mm, Product Form Disc, Grit 80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+, Attachment Type Hook & Loop, Intended Use Abrasive Product, Specific Use For Industrial/occupational Use Only. Not For Consumer Sale Or Use., Hazard Classification Not Classified According To The Canadian Hazardous Products Regulation., Physical State Solid, Colour Purple, Odour Slight Resinous, Additional Information: Density No Data Available, Flash Point Not Applicable, Aluminum insoluble compounds - TWA (respirable fraction) 1 mg/m3, Aluminum insoluble compounds - TWA (inhalable particles) 10 mg/m3, Aluminum insoluble compounds - TWA (respirable particles) 3 mg/m3, Titanium Dioxide - TWA (respirable nanoscale particles) 0.2 mg/m3, Titanium Dioxide - TWA (respirable finescale particles) 2.5 mg/m3, Stearates - TWA (respirable fraction) 3 mg/m3, Stearates - TWA (inhalable fraction) 10 mg/m3, Carcinogenicity - Titanium Dioxide Group 2B: Possible human carcinogen (IARC)","Dust Extractor Bags, Precision Shaped Ceramic, 3 In, 5 In, 6 In, 8 In, 76.2 Mm, 127 Mm, 152.4 Mm, 203.2 Mm",Overall Diameter (Imperial),Overall Diameter (Metric),Product Form,Grit,Attachment Type,Abrasive Material,Intended Use,Specific Use,Hazard Classification,Physical State,"3 in, 5 in, 6 in, 8 in","76.2 mm, 127 mm, 152.4 mm, 203.2 mm",Disc,"80+, 120+, 150+, 180+, 220+, 240+, 320+, 400+, 500+, 600+, 800+, 1000+",Hook & Loop,Precision Shaped Ceramic,Abrasive Product,For industrial/occupational use only. Not for consumer sale or use.,Not classified according to the Canadian Hazardous Products Regulation.,Solid,,,,,,,,,,,medium,llm,unknown,True,https://www.3mcanada.ca/3M/en_CA/p/d/b40065039,retailer,False,,True,True
5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Ltd,MIRKA,5B-332-080,Electrical,Lamps & Lightings,Indoor Lighting,Electrical>Lamps & Lightings>Indoor Lighting>Recessed Lighting>Recessed Lighting Fixtures,LED Recessed Light,"Mirka Ltd, LED Recessed Light, 5B-332-080, Aluminium oxide, Gold",LED RECESSED LIGHT GOLD,"MIRKA® 5B-332-080 LED Recessed Light, Aluminium Oxide, Gold, D-paper/C-paper, Resin Over Resin","MIRKA® LED Recessed Light, Grain Aluminium Oxide, Color Gold, Backing D-paper/C-paper, Bonding Resin Over Resin, Grit Range P80-P800, Coating Semi-open, Suited For Automotive Refinishing, Paint & Decoration, Wood Processing, Composite Processing, Do-It-Yourself, Marine Industry, Vehicle Manufacturing, Suitable Materials Hardwood, Non-ferrous Metal, Paint Stripping / Removal, Paint Sanding, Lacquers, Plaster / Putty, Plastics, Body Filler, Primer, Soft / Resinous Wood, Synthetic Materials, Veneer, Chipboard, Copper Alloys / Brass / Bronze, Glass Fiber","LED Recessed Light, Aluminium Oxide, Gold, D-paper/C-paper",Grain,Color,Backing,Bonding,Grit range,Coating,Suited For,Suitable Materials,,,Aluminium oxide,Gold,D-paper/C-paper,Resin over resin,P80-P800,Semi-open,"Automotive Refinishing, Paint & Decoration, Wood Processing, Composite Processing, Do-It-Yourself, Marine Industry, Vehicle Manufacturing","Hardwood, Non-ferrous metal, Paint stripping / removal, Paint sanding, Lacquers, Plaster / Putty, Plastics, Body filler, Primer, Soft / Resinous wood, Synthetic materials, Veneer, Chipboard, Copper alloys / brass / bronze, Glass Fiber",,,,,,,,,,,,,high,llm,direct_lookup,True,https://ahturf.com/mirka-gold-4-5-in-x-10-yd-psa-rolls-80-grit-400-grit-23-573-xxxx,retailer,False,,True,True
5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Ltd,MIRKA,5B-332-120,Electrical,Lamps & Lightings,Indoor Lighting,Electrical>Lamps & Lightings>Indoor Lighting>Recessed Lighting>Recessed Lighting Fixtures,"5"" Recessed Light Fixture","Mirka Ltd, 5"" Recessed Light Fixture, 5B-332-120, Cloth, Peel & Stick","5"" RECESSED LIGHT FIXTURE","MIRKA® 5B-332-120 5"" Recessed Light Fixture, Cloth, Peel & Stick, Automotive / Paint & Decoration / Wood Working / Metal Working, Mirka","MIRKA® 5"" Recessed Light Fixture, ABRASIVE BACKING Cloth, ADHESION TYPE Peel & Stick, APPLICATION Automotive / Paint & Decoration / Wood Working / Metal Working, BRAND COMPATIBILITY Mirka, CONSUMABLE TYPE Sandpaper, DIAMETER 5 In, GRAIN Aluminum Oxide, GRIT 120G, MAKE Hiolit, PRODUCT TYPE Consumables, TOOL SUB-TYPE Sanders - Disc Sanders, TOOL TYPE Sanders, Additional Information: Quantity per pack 50","5"" Recessed Light Fixture, Cloth, Peel & Stick, Automotive / Paint & Decoration / Wood Working / Metal Working",ABRASIVE BACKING,ADHESION TYPE,APPLICATION,BRAND COMPATIBILITY,CONSUMABLE TYPE,DIAMETER,GRAIN,GRIT,MAKE,PRODUCT TYPE,Cloth,Peel & Stick,Automotive / Paint & Decoration / Wood Working / Metal Working,Mirka,Sandpaper,5,Aluminum Oxide,120G,Hiolit,Consumables,,,,,,in,,,,,high,llm,direct_lookup,True,https://beavertools.com/products/5b-332-120-mirka-hiolit-jca2ao-5-psa-tab-p120-qty-50,retailer,True,,True,True
9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Ltd,MIRKA,9A-570-240,Tools & Equipment,Power Tools,Oscillating Tools,Tools & Equipment>Power Tools>Oscillating Tools>Oscillating Tool Sandpaper & Sanding Pads,Sanding Pad,"Mirka Ltd, Sanding Pad, 9A-570-240, 30 ft, 2.75 in, Steel, Mild steel / carbon",SANDING PAD STE,"MIRKA® 9A-570-240 Sanding Pad, 30 Ft, 2.75 In, Steel, Mild Steel / Carbon Steel, Copper Alloys / Brass / Bronze, Birch, Non-ferrous Metal, Plaster / Filler, Beech, Stainless Steel, Melamine, Veneer, Pine, Plastics, Primer, Paint Sanding, Body Filler, Lacquers, Teak, Mahogany, LG HI-MACS®, Samsung™ Staron®, Paint Stripping / Removal, Chipboard, Solid Surface, Cast Iron, Oak, Ash, Hardwood, Soft / Resinous Wood, Karonia Mistral, MDF / HDF, DuPont™ Corian®, Solid","MIRKA® Sanding Pad, Length 30 Ft, Width 2.75 In, Suitable Materials Steel, Mild Steel / Carbon Steel, Copper Alloys / Brass / Bronze, Birch, Non-ferrous Metal, Plaster / Filler, Beech, Stainless Steel, Melamine, Veneer, Pine, Plastics, Primer, Paint Sanding, Body Filler, Lacquers, Teak, Mahogany, LG HI-MACS®, Samsung™ Staron®, Paint Stripping / Removal, Chipboard, Solid Surface, Cast Iron, Oak, Ash, Hardwood, Soft / Resinous Wood, Karonia Mistral, MDF / HDF, DuPont™ Corian®, Physical State Solid, Colour Variable, Decomposition Temperature (hazardous) 250 °C, Emergency Telephone Number +358 20 760 2111, Manufacturer Address Pensalavägen 210, FI-66850 Jeppo, Finland, Version/Revision Date 24/03.06.2025, Stability Statement Stable When Handled Or Stored Correctly, Chemical Stability No Decomposition In Normal Use","Sanding Pad, 30 Ft, 2.75 In, Steel, Mild Steel / Carbon Steel, Copper Alloys / Brass / Bronze, Birch, Non-ferrous Metal, Plaster / Filler, Beech, Stainless Steel, Melamine, Veneer, Pine, Plastics, Primer, Paint Sanding, Body Filler, Lacquers, Teak, Mahogany, LG HI-MACS®, Samsung™ Staron®, Paint Stripping / Removal, Chipboard, Solid Surface, Cast Iron, Oak, Ash, Hardwood, Soft / Resinous Wood, Karonia Mistral, MDF / HDF, DuPont™ Corian®",Width,Length,Suitable Materials,Physical state,Colour,Decomposition temperature (hazardous),Emergency telephone number,Manufacturer address,Version/Revision date,Stability statement,2.75,30,"Steel, Mild steel / carbon steel, Copper alloys / brass / bronze, Birch, Non-ferrous metal, Plaster / Filler, Beech, Stainless steel, Melamine, Veneer, Pine, Plastics, Primer, Paint sanding, Body filler, Lacquers, Teak, Mahogany, LG HI-MACS®, Samsung™ Staron®, Paint stripping / removal, Chipboard, Solid surface, Cast iron, Oak, Ash, Hardwood, Soft / Resinous wood, Karonia Mistral, MDF / HDF, DuPont™ Corian®",solid,variable,250,+358 20 760 2111,"Pensalavägen 210, FI-66850 Jeppo, Finland",24/03.06.2025,stable when handled or stored correctly,in,ft,,,,°C,,,,,high,rule,direct_lookup,True,https://www.mirka.com/en-us/p/ABRANET--70-9-2----NET,retailer,False,,True,True
