Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,Dept,Class,Fine,Classpath,Product Name,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_LABEL_3,ATTRIBUTE_LABEL_4,ATTRIBUTE_LABEL_5,ATTRIBUTE_LABEL_6,ATTRIBUTE_LABEL_7,ATTRIBUTE_LABEL_8,ATTRIBUTE_LABEL_9,ATTRIBUTE_LABEL_10,ATTRIBUTE_VALUE_1,ATTRIBUTE_VALUE_2,ATTRIBUTE_VALUE_3,ATTRIBUTE_VALUE_4,ATTRIBUTE_VALUE_5,ATTRIBUTE_VALUE_6,ATTRIBUTE_VALUE_7,ATTRIBUTE_VALUE_8,ATTRIBUTE_VALUE_9,ATTRIBUTE_VALUE_10,ATTRIBUTE_UOM_1,ATTRIBUTE_UOM_2,ATTRIBUTE_UOM_3,ATTRIBUTE_UOM_4,ATTRIBUTE_UOM_5,ATTRIBUTE_UOM_6,ATTRIBUTE_UOM_7,ATTRIBUTE_UOM_8,ATTRIBUTE_UOM_9,ATTRIBUTE_UOM_10,_classification_confidence,_classification_method,_brand_resolution_method,_enriched,_enrichment_source,_invoice_desc_ok,_mobile_desc_ok
PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Rheem Manufacturing,FRIGIDAIRE®,PDSH4816AF,Appliances & Consumer Electronics,Kitchen Appliances,Built-In Dishwashers,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,Dishwasher,"Rheem Manufacturing FRIGIDAIRE, Dishwasher, PDSH4816AF",DISHWASHER,FRIGIDAIRE® PDSH4816AF Dishwasher,FRIGIDAIRE® Dishwasher,Dishwasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,mpn_prefix_lookup,False,,True,False
WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Whirlpool Corporation,Whirlpool®,WDTS7024RZ,Appliances & Consumer Electronics,Kitchen Appliances,Built-In Dishwashers,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,Dishwasher,"Whirlpool Corporation, Dishwasher, WDTS7024RZ",DISHWASHER,Whirlpool® WDTS7024RZ Dishwasher,Whirlpool® Dishwasher,Dishwasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,mpn_prefix_lookup,False,,True,False
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc.",Diablo®,DCB518ASTS06G,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Sanding Belt,"Freud America, Inc. Diablo, Sanding Belt, DCB518ASTS06G",SANDING BELT,Diablo® DCB518ASTS06G Sanding Belt,Diablo® Sanding Belt,Sanding Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,direct_lookup,False,https://www.diablotools.com/products/dcb518asts06g,True,False
3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100075678,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Sanding Disc,"Jam Industrial Supply Llc, Sanding Disc, 3MABR-7100075678",SANDING DISC,3MABR-7100075678 Sanding Disc,Sanding Disc,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,unknown,False,,True,False
3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100045865,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Abrasives Disc,"Jam Industrial Supply Llc, Abrasives Disc, 3MABR-7100045865",ABRASIVES DISC,3MABR-7100045865 Abrasives Disc,Abrasives Disc,Abrasives Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,unknown,False,,True,False
3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100048736,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Abrasives Disc,"Jam Industrial Supply Llc, Abrasives Disc, 3MABR-7100048736",ABRASIVES DISC,3MABR-7100048736 Abrasives Disc,Abrasives Disc,Abrasives Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,unknown,False,,True,False
3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100075690,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Sandpaper,"Jam Industrial Supply Llc, Sandpaper, 3MABR-7100075690",SANDPAPER,3MABR-7100075690 Sandpaper,Sandpaper,Sandpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,unknown,False,,True,False
3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100075692,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Sanding Disc,"Jam Industrial Supply Llc, Sanding Disc, 3MABR-7100075692",SANDING DISC,3MABR-7100075692 Sanding Disc,Sanding Disc,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,unknown,False,,True,False
3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply Llc,,3MABR-7100145365,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Sanding Disc,"Jam Industrial Supply Llc, Sanding Disc, 3MABR-7100145365",SANDING DISC,3MABR-7100145365 Sanding Disc,Sanding Disc,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,unknown,False,,True,False
5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,5B-332-080,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Sanding Disc,"Mirka Abrasives Inc, Sanding Disc, 5B-332-080",SANDING DISC,5B-332-080 Sanding Disc,Sanding Disc,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,unknown,False,,True,False
